831;Kamenin;1477
832;Kamenny Most;1048
833;Kmetovo;853
834;Kolta;1299
835;Komjatice;4338
836;Komoca;958
837;Lela;310
838;Lipova okres Nove Zamky;1529
839;Luba;424
840;Mala nad Hronom;385
841;Male Kosihy;383
842;Mana;2081
843;Michal nad Zitavou;656
844;Velky Kyr;2982
845;Mojzesovo;1316
846;Muzla;1884
847;Nova Vieska;698
848;Palarikovo;4255
849;Podhajska;1025
850;Pozba;453
851;Radava;761
852;Rastislavice;919
853;Ruban;979
854;Salka;1001
855;Semerovo;1400
856;Sikenicka;429
857;Strekov;1993
858;Svodin;2513
859;Sarkan;381
860;Sturovo;10465
861;Surany;9892
862;Travnica;1062
863;Tvrdosovce;5162
864;Velke Lovce;1889
865;Zemne;2165
866;Vlkas;325
867;Pavlova;228
868;Ulany nad Zitavou;1520
869;Nana;1215
870;Obid;1167
871;Hajske;1308
872;Mocenok;4305
873;Diakovce;2246
874;Dlha nad Vahom;880
875;Kralova nad Vahom;1776
876;Neded;3320
877;Selice;2842
878;Sala;22464
879;Tesedikovo;3711
880;Trnovec nad Vahom;2707
881;Vlcany;3258
882;Ziharec;1662
883;Horna Kralova;1879
884;Topolcany;25842
885;Lipovnik okres Topolcany;323
886;Ludanice;1838
887;Luzany;206
888;Male Ripnany;551
889;Nemecky;309
890;Nitrianska Blatnica;1234
891;Nitrianska Streda;760
892;Norovce;329
893;Oponice;808
894;Podhradie okres Topolcany;294
895;Prasice;2032
896;Preselany;1434
897;Radosina;1956
898;Rajcany;542
899;Solcany;2477
900;Sulovce;494
901;Salgovce;516
902;Tesare;728
903;Tvrdomestice;450
904;Urmince;1406
905;Velke Dvorany;715
906;Velke Ripnany;2104
907;Velusovce;505
908;Vozokany okres Topolcany;347
909;Zavada okres Topolcany;587
910;Belince;320
911;Biskupova;244
912;Blesovce;338
913;Bojna;2033
914;Cermany;356
915;Hajna Nova Ves;333
916;Horne Obdokovce;1516
917;Horne Stitare;545
918;Hrusovany;1103
919;Kamanova;621
920;Koniarovce;642
921;Kovarce;1628
922;Krnca;1347
923;Krtovce;307
924;Krusovce;1695
925;Jacovce;1754
926;Chrabrany;755
927;Oresany;326
928;Ardanovce;207
929;Svrbice;191
930;Dvorany nad Nitrou;758
931;Celadince;440
932;Solcianky;268
933;Horne Chlebany;361
934;Tovarniky;1470
935;Nemcice;990
936;Praznovce;976
937;Kuzmice okres Topolcany;688
938;Beladice;1621
939;Caradice;501
940;Cierne Klacany;1124
941;Hostie;1222
942;Hostovce okres Zlate Moravce;753
943;Choca;513
944;Jedlove Kostolany;916
945;Kostolany pod Tribecom;338
946;Ladice;736
947;Lovce;660
948;Machulince;1121
949;Mankovce;541
950;Martin nad Zitavou;526
951;Nemcinany;685
952;Neverice;703
953;Nevidzany okres Zlate Moravce;582
954;Obyce;1505
955;Skycov;974
956;Slazany;1692
957;Slepcany;822
958;Tesarske Mlynany;1792
959;Topolcianky;2643
960;Velcice;840
961;Vieska nad Zitavou;452
962;Volkovce;1008
963;Zlate Moravce;11656
964;Zlatno okres Zlate Moravce;217
965;Zikava;521
966;Tekovske Nemce;1068
967;Cerveny Hradok;413
968;Male Vozokany;268
969;Velke Vozokany;466
970;Zitavany;1918
971;Brezovica okres Tvrdosin;1317
972;Habovka;1387
973;Hladovka;1039
974;Liesek;2892
975;Nizna okres Tvrdosin;4038
976;Oravsky Biely Potok;720
977;Podbiel;1279
978;Sucha Hora;1420
979;Stefanov nad Oravou;677
980;Trstena;7396
981;Tvrdosin;9215
982;Vitanova;1308
983;Zabiedovo;853
984;Zuberec;1838
985;Cimhova;674
986;Zilina;81041
987;Bela okres Zilina;3383
988;Cicmany;131
989;Divina;2399
990;Divinka;1051
991;Dlhe Pole;1900
992;Dolna Tizina;1363
993;Dolny Hricov;1569
994;Fackov;641
995;Gbelany;1326
996;Horky;769
997;Horny Hricov;787
998;Jasenove;620
999;Kamenna Poruba okres Zilina;1855
1000;Konska okres Zilina;1542
1001;Kotrcina Lucka;478
1002;Krasnany;1504
1003;Kunerad;1038
1004;Lietava;1451
1005;Lietavska SvinnaBabkov;1736
1006;Lutise;727
1007;Lysica;821
1008;Mala Cierna;356
1009;Mojs;1041
1010;Nededza;1023
1011;Podhorie okres Zilina;901
1012;Rajec;5824
1013;Rajecka Lesna;1199
1014;Rajecke Teplice;2985
1015;Rosina;3165
1016;Stranavy;1854
1017;Stranske;816
1018;Straza;674
1019;Strecno;2558
1020;Svedernik;1135
1021;Teplicka nad Vahom;4200
1022;Terchova;4079
1023;Turie;1990
1024;Varin;3816
1025;Velka Cierna;357
1026;Visnove okres Zilina;2800
1027;Zbynov;857
1028;Bitarova;739
1029;Brezany;614
1030;Hricovske Podhradie;354
1031;Ovciarsko;623
1032;Pastina Zavada;229
1033;Lietavska Lucka;1823
1034;Porubka okres Zilina;494
1035;Durcina;1082
1036;Klace;398
1037;Nezbudska Lucka;390
1038;Suja;318
1039;Bytca;11320
1040;Hvozdnica;1184
1041;Jablonove okres Bytca;882
1042;Kolarovice;1821
1043;Kotesova;2000
1044;MarsovaRasov;895
1045;Petrovice;1576
1046;Predmier;1376
1047;SulovHradna;927
1048;Stiavnik;4042
1049;Velke Rovne;3762
1050;Hlboke nad Vahom;947
1051;Cadca;24431
1052;Cierne;4403
1053;Dlha nad Kysucou;622
1054;Dunajov;1184
1055;Klokocov okres Cadca;2324
1056;Klubina;540
1057;Korna;2038
1058;Krasno nad Kysucou;6807
1059;Makov;1744
1060;Nova Bystrica;2762
1061;Olesna;1951
1062;Oscadnica;5682
1063;Podvysoka;1336
1064;Radostka;820
1065;Rakova;5457
1066;Skalite;5255
1067;Stara Bystrica;2741
1068;Staskov;2777
1069;Svrcinovec;3534
1070;Turzovka;7624
1071;Vysoka nad Kysucou;2670
1072;Zakopcie;1781
1073;Zborov nad Bystricou;2256
1074;Dolny Kubin;18995
1075;Dlha nad Oravou;1398
1076;Horna Lehota okres Dolny Kubin;552
1077;Chlebnice;1628
1078;Istebne;1344
1079;Jasenova;416
1080;Kralovany;436
1081;Kriva;811
1082;Lestiny;273
1083;Malatina;815
1084;Medzibrodie nad Oravou;525
1085;Oravska Poruba;1037
1086;Oravsky Podzamok;1372
1087;Osadka;157
1088;Parnica;878
1089;Pokryvac;164
1090;Pribis;453
1091;Pucov;855
1092;Sedliacka Dubova;525
1093;Velicna;1240
1094;Vysny Kubin;760
1095;Zazriva;2662
1096;Zaskov;1613
1097;Bziny;571
1098;Dolny Vadicov;481
1099;Horny Vadicov;1628
1100;Kysucke Nove Mesto;15229
1101;Kysucky Lieskovec;2363
1102;Lodno;994
1103;Lopusne Pazite;464
1104;Neslusa;3133
1105;Ochodnica;1947
1106;Povina;1167
1107;Rudina;1804
1108;Rudinka;387
1109;Rudinska;988
1110;Sneznica;985
1111;Radola;1492
1112;Konska okres Liptovsky Mikulas;212
1113;Liptovsky Mikulas;31461
1114;Benadikova;489
1115;Bobrovcek;177
1116;Bobrovec;1895
1117;Bobrovnik;130
1118;Bukovina;100
1119;Demanovska Dolina;298
1120;Dubrava okres Liptovsky Mikulas;1229
1121;Galovany;269
1122;Gotovany;456
1123;Huty;178
1124;Hybe;1485
1125;Jakubovany okres Liptovsky Mikulas;374
1126;Jalovec okres Liptovsky Mikulas;295
1127;Jamnik okres Liptovsky Mikulas;443
1128;Kralova Lehota;583
1129;Kvacany okres Liptovsky Mikulas;543
1130;Lazisko;403
1131;Liptovska Anna;87
1132;Liptovska Kokava;976
1133;Liptovska Sielnica;602
1134;Liptovske Beharovce;71
1135;Liptovske Klacany;392
1136;Liptovske Matiasovce;314
1137;Liptovsky Hradok;7572
1138;Liptovsky Jan;1073
1139;Liptovsky Ondrej;616
1140;Liptovsky Trnovec;551
1141;Lubela;1106
1142;Malatiny;225
1143;Male Borove;136
1144;Maluzina;249
1145;Nizna Boca;163
1146;Partizanska Lupca;1244
1147;Pavcina Lehota;380
1148;Pavlova Ves;255
